DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
7.10220107956616e-07,1,1,0.8,3,1,2.88888888888889
6.72383243605523e-07,1,1,0.825,3,1,2.88888888888889
6.41475616336706e-07,1,1,0.85,3,1,2.88888888888889
6.15781766640736e-07,1,1,0.875,3,1,2.88888888888889
5.94035674976564e-07,1,1,0.9,3,1,2.88888888888889
5.75299723385243e-07,1,1,0.925,3,1,2.88888888888889
5.58877279810416e-07,1,1,0.95,3,1,2.88888888888889
5.44249238394447e-07,1,1,0.975,3,1,2.88888888888889
5.31027728756238e-07,1,1,1,3,1,2.88888888888889
5.18922198494297e-07,1,1,1.025,3,1,2.88888888888889
5.07714459443742e-07,1,1,1.05,3,1,2.88888888888889
4.9724025966113e-07,1,1,1.075,3,1,2.88888888888889
4.87375628124622e-07,1,1,1.1,3,1,2.88888888888889
4.78026725070743e-07,1,1,1.125,3,1,2.88888888888889
4.69122277574847e-07,1,1,1.15,3,1,2.88888888888889
4.60607928675258e-07,1,1,1.175,3,1,2.88888888888889
4.52442007669091e-07,1,1,1.2,3,1,2.88888888888889
4.4459235915979e-07,1,1,1.225,3,1,2.88888888888889
4.37033963051839e-07,1,1,1.25,3,1,2.88888888888889
4.29747146884178e-07,1,1,1.275,3,1,2.88888888888889
4.22716242714557e-07,1,1,1.3,3,1,2.88888888888889
4.15928578241737e-07,1,1,1.325,3,1,2.88888888888889
4.09373719590533e-07,1,1,1.35,3,1,2.88888888888889
4.03042903788892e-07,1,1,1.375,3,1,2.88888888888889
3.96928614322329e-07,1,1,1.4,3,1,2.88888888888889
3.9102426463136e-07,1,1,1.425,3,1,2.88888888888889
3.85323963024972e-07,1,1,1.45,3,1,2.88888888888889
3.79822338953834e-07,1,1,1.475,3,1,2.88888888888889
3.74514415462953e-07,1,1,1.5,3,1,2.88888888888889
3.69395516325859e-07,1,1,1.525,3,1,2.88888888888889
3.64461199148783e-07,1,1,1.55,3,1,2.88888888888889
3.59707207845116e-07,1,1,1.575,3,1,2.88888888888889
3.55129439483339e-07,1,1,1.6,3,1,2.88888888888889
3.50723921729587e-07,1,1,1.625,3,1,2.88888888888889
3.4648679803215e-07,1,1,1.65,3,1,2.88888888888889
3.42414318399952e-07,1,1,1.675,3,1,2.88888888888889
3.38502834163155e-07,1,1,1.7,3,1,2.88888888888889
3.34748795511943e-07,1,1,1.725,3,1,2.88888888888889
3.31148750919497e-07,1,1,1.75,3,1,2.88888888888889
3.27699347790505e-07,1,1,1.775,3,1,2.88888888888889
3.24397333854836e-07,1,1,1.8,3,1,2.88888888888889
3.212395589607e-07,1,1,1.825,3,1,2.88888888888889
3.18222977023088e-07,1,1,1.85,3,1,2.88888888888889
